;;;
;;;;R.SOCIAL.: G3S COMERCIO E INDUSTRIA DE FERRO E ACO LTDA -  CNPJ.: 20947332/0004-38 END.: RUA HELENA FERRANTE BORGHI, 100 - DISTRITO INDUSTRIAL CIDADE.: PRESIDENTEPRUDENTE - SP TELEFONE: 1821010101 IE: 562407492115 / WWW.SELETIVA.IND.BR DATA. : 18/06/2026 HORA.: 13:44:25-IMPRESSO POR:JULIO.SANTANA;;;;;;;;;;
;;;;Relação de Centro de Custo;;;;;;;;;;;
;;;;;;;;;;;;;;

Tipo;
;;Código;;;;;;;Descrição;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;

1.2.2.5.2           ;BTZ8D36                                                                                            ;;ANALÍTICO ;

1.2.2.5.3           ;BZL7H95                                                                                            ;;ANALÍTICO ;

1.2.2.5.4           ;NRQ7727                                                                                            ;;ANALÍTICO ;

1.2.2.5.5           ;FJU8F67 (JULIETA)                                                                                  ;;ANALÍTICO ;

1.2.2.5.6           ;FUF1E28 (JULIETA)                                                                                  ;;ANALÍTICO ;

1.2.2.5.7           ;FZF3J28 (JULIETA)                                                                                  ;;ANALÍTICO ;

1.2.2.5.8           ;QAU6E20 (JULIETA)                                                                                  ;;ANALÍTICO ;

1.2.2.5.9           ;TKI2E74                                                                                            ;;ANALÍTICO ;

1.2.2.6             ;MAQUINAS E EQUIPAMENTOS                                                                            ;;SINTÉTICO ;

1.2.2.6.1           ;EHH0036                                                                                            ;;ANALÍTICO ;

1.2.2.6.2           ;EHH0003                                                                                            ;;ANALÍTICO ;

1.2.2.6.3           ;EHL0042                                                                                            ;;ANALÍTICO ;

1.2.2.6.4           ;PHT0018                                                                                            ;;ANALÍTICO ;

1.2.2.6.5           ;BAL0006 (BALANÇA)                                                                                  ;;ANALÍTICO ;

1.2.3               ;LONDRINA                                                                                           ;;SINTÉTICO ;

1.2.3.1             ;ADMINISTRATIVO                                                                                     ;;ANALÍTICO ;

1.2.3.2             ;COMERCIAL                                                                                          ;;ANALÍTICO ;

1.2.3.3             ;OPERACIONAL                                                                                        ;;ANALÍTICO ;

1.2.3.4             ;LOGISTICA                                                                                          ;;ANALÍTICO ;

1.2.3.5             ;VEICULOS                                                                                           ;;SINTÉTICO ;

1.2.3.5.1           ;EWU5J85                                                                                            ;;ANALÍTICO ;

1.2.3.5.2           ;EJZ7998                                                                                            ;;ANALÍTICO ;

1.2.3.5.3           ;FTP7D76                                                                                            ;;ANALÍTICO ;

1.2.3.5.4           ;DHW9801 (AGREGADO)                                                                                 ;;ANALÍTICO ;

1.2.3.5.5           ;STF9C60                                                                                            ;;ANALÍTICO ;

1.2.3.5.6           ;GDA9J63                                                                                            ;;ANALÍTICO ;

1.2.3.5.7           ;BZL7H95                                                                                            ;;ANALÍTICO ;

1.2.3.6             ;MAQUINAS E EQUIPAMENTOS                                                                            ;;SINTÉTICO ;

1.2.3.6.1           ;EHH0040                                                                                            ;;ANALÍTICO ;

;;;;;;;
Página: 2 / 19
www.sygecom.com.br - relatorios\sagi_rel_centro_custo.fr3;;;
;;
1.2.3.6.2           ;EHH0008                                                                                            ;;ANALÍTICO ;

1.2.3.6.3           ;EHH0002                                                                                            ;;ANALÍTICO ;

1.2.4               ;MARINGA DISTRITO                                                                                   ;;SINTÉTICO ;

1.2.4.1             ;ADMINISTRATIVO                                                                                     ;;ANALÍTICO ;

1.2.4.2             ;COMERCIAL                                                                                          ;;ANALÍTICO ;

1.2.4.3             ;OPERACIONAL                                                                                        ;;ANALÍTICO ;

1.2.4.4             ;LOGISTICA                                                                                          ;;ANALÍTICO ;

1.2.4.5             ;PATIO GXS                                                                                          ;;ANALÍTICO ;

1.2.4.6             ;PRENSA FIXA JCG800                                                                                 ;;ANALÍTICO ;

1.2.4.7             ;VEICULOS                                                                                           ;;SINTÉTICO ;

1.2.4.7.1           ;EWU5J98                                                                                            ;;ANALÍTICO ;

1.2.4.7.2           ;GHI3A74                                                                                            ;;ANALÍTICO ;

1.2.4.7.3           ;OON3B85                                                                                            ;;ANALÍTICO ;

1.2.4.7.4           ;EWU6087                                                                                            ;;ANALÍTICO ;

1.2.4.7.5           ;EWU6A85                                                                                            ;;ANALÍTICO ;

1.2.4.7.6           ;EWU6154 (JULIETA)                                                                                  ;;ANALÍTICO ;

1.2.4.7.7           ;EWU6204 (JULIETA)                                                                                  ;;ANALÍTICO ;

1.2.4.7.8           ;EWU6343 (JULIETA)                                                                                  ;;ANALÍTICO ;

1.2.4.7.9           ;FJQ5A08                                                                                            ;;ANALÍTICO ;

1.2.4.7.10          ;RNC9H69                                                                                            ;;ANALÍTICO ;

1.2.4.7.11          ;GPZ5548 (AGREGADO)                                                                                 ;;ANALÍTICO ;

1.2.4.7.12          ;FRT7548                                                                                            ;;ANALÍTICO ;

1.2.4.7.13          ;BZL7H95                                                                                            ;;ANALÍTICO ;

1.2.4.7.14          ;FBU7329                                                                                            ;;ANALÍTICO ;

1.2.4.8             ;MAQUINAS E EQUIPAMENTOS                                                                            ;;SINTÉTICO ;

1.2.4.8.1           ;EHH0039                                                                                            ;;ANALÍTICO ;

1.2.4.8.2           ;EHH0002                                                                                            ;;ANALÍTICO ;

1.2.4.8.3           ;EHH0004                                                                                            ;;ANALÍTICO ;

1.2.4.8.4           ;EHL0043                                                                                            ;;ANALÍTICO ;

1.2.4.8.5           ;BHM0047                                                                                            ;;ANALÍTICO ;

1.2.4.8.6           ;PHH0061 (JCG800)                                                                                   ;;ANALÍTICO ;

1.2.4.8.7           ;EHL0014                                                                                            ;;ANALÍTICO ;

1.2.5               ;PRESIDENTE PRUDENTE                                                                                ;;SINTÉTICO ;

1.2.5.1             ;ADMINISTRATIVO                                                                                     ;;ANALÍTICO ;

1.2.5.2             ;COMERCIAL                                                                                          ;;ANALÍTICO ;

1.2.5.3             ;OPERACIONAL                                                                                        ;;ANALÍTICO ;

1.2.5.4             ;LOGISTICA                                                                                          ;;ANALÍTICO ;

1.2.5.5             ;PRENSA FIXA JCG800                                                                                 ;;ANALÍTICO ;

1.2.5.6             ;VEICULOS                                                                                           ;;SINTÉTICO ;

1.2.5.6.1           ;EWU6003                                                                                            ;;ANALÍTICO ;

1.2.5.6.2           ;BZG6A91                                                                                            ;;ANALÍTICO ;

1.2.5.6.3           ;GDA9J63                                                                                            ;;ANALÍTICO ;

1.2.5.6.4           ;GGE5059                                                                                            ;;ANALÍTICO ;

1.2.5.6.5           ;TRANSFERIDO                                                                                        ;;ANALÍTICO ;

;;;;;;;
Página: 3 / 19
www.sygecom.com.br - relatorios\sagi_rel_centro_custo.fr3;;;
;;
1.2.5.6.6           ;EWU6A86                                                                                            ;;ANALÍTICO ;

1.2.5.6.7           ;FUP3G76                                                                                            ;;ANALÍTICO ;

1.2.5.6.8           ;FVQ3B78                                                                                            ;;ANALÍTICO ;

1.2.5.6.9           ;EWU6B52                                                                                            ;;ANALÍTICO ;

1.2.5.6.10          ;EJZ7G08 (AGREGADO)                                                                                 ;;ANALÍTICO ;

1.2.5.6.11          ;SUE1E15                                                                                            ;;ANALÍTICO ;

1.2.5.6.12          ;SUY4F83                                                                                            ;;ANALÍTICO ;

1.2.5.6.13          ;GHI3A74                                                                                            ;;ANALÍTICO ;

1.2.5.6.14          ;EWU6A85                                                                                            ;;ANALÍTICO ;

1.2.5.6.15          ;NRQ7727                                                                                            ;;ANALÍTICO ;

1.2.5.6.16          ;EJZ7998                                                                                            ;;ANALÍTICO ;

1.2.5.6.17          ;OON3B85                                                                                            ;;ANALÍTICO ;

1.2.5.6.18          ;EJZ7J97                                                                                            ;;ANALÍTICO ;

1.2.5.6.19          ;EJZ7999                                                                                            ;;ANALÍTICO ;

1.2.5.6.20          ;NRV7727                                                                                            ;;ANALÍTICO ;

1.2.5.6.21          ;FJQ5A08                                                                                            ;;ANALÍTICO ;

1.2.5.6.22          ;QAO4A53                                                                                            ;;ANALÍTICO ;

1.2.5.7             ;MAQUINAS E EQUIPAMENTOS                                                                            ;;SINTÉTICO ;

1.2.5.7.1           ;EHH0037                                                                                            ;;ANALÍTICO ;

1.2.5.7.2           ;EHH0006                                                                                            ;;ANALÍTICO ;

1.2.5.7.3           ;EHH0046                                                                                            ;;ANALÍTICO ;

1.2.5.7.4           ;PHJ0054                                                                                            ;;ANALÍTICO ;

1.2.5.7.5           ;PHH0031                                                                                            ;;ANALÍTICO ;

1.2.5.7.6           ;PHH0045                                                                                            ;;ANALÍTICO ;

1.2.5.7.7           ;EHL0028                                                                                            ;;ANALÍTICO ;

