;
;;R.SOCIAL.: G3S COMERCIO E INDUSTRIA DE FERRO E ACO LTDA -  CNPJ.: 20947332/0004-38 END.: RUA HELENA FERRANTE BORGHI, 100 - DISTRITO INDUSTRIAL CIDADE.: PRESIDENTEPRUDENTE - SP TELEFONE: 1821010101 IE: 562407492115 / WWW.SELETIVA.IND.BR DATA. : 27/04/2026 HORA.: 08:26:04-IMPRESSO POR:JULIO.SANTANA;;;;;;;
;;Relação de Plano de Contas - Por Ordem de Conta;;;;;;;;
;;;;;;;;

;Código;;;;;Descrição;;;C/D;;% Aplic.

6.6.4;SEGURO DE CARGAS;;;D;0,00

6.6.5;TARIFA PAMCARD;;;D;0,00

6.6.6;FRETE DE COLETA;;;D;0,00

7;DESPESAS GERAIS;;;;0,00

7.1;OPERACIONAL;;;D;0,00

7.1.1;PEÇAS DE MANUTENÇÃO;;;D;0,00

7.1.2;MANUTENÇÃO DE VEÍCULOS/MAQUINAS;;;D;0,00

7.1.3;LOCAÇÃO DE EQUIPAMENTOS E FERRAMENTAS;;;D;0,00

7.1.4;COMBUSTÍVEL - DIESEL (POSTO);;;D;0,00

;;;;;;;

www.sygecom.com.br - relatorios\sagi_listacdc7.fr3;;;Página: 2 / 6;;;;
7.1.5;COMBUSTÍVEL - GASOLINA E ETANOL;;;D;0,00

7.1.6;TRANSPORTE DE SUCATA;;;D;0,00

7.1.7;TRANSPORTE MANUTENÇÃO;;;D;0,00

7.1.8;DESPESAS DE VIAGEM;;;D;0,00

7.1.9;MULTAS DE TRANSITO;;;D;0,00

7.1.10;IPVA;;;D;0,00

7.1.11;LICENCIAMENTO / DPVAT;;;D;0,00

7.1.12;PEDÁGIO;;;D;0,00

7.1.13;TAXA 1° REGISTRO VEICULO;;;D;0,00

7.1.14;DESPACHANTE;;;D;0,00

7.1.15;VISTORIAS;;;D;0,00

7.1.16;SERVIÇOS DE TERCEIROS;;;D;0,00

7.1.17;GÁS - USO OFICINA;;;D;0,00

7.1.18;FRETES E CARRETOS;;;D;0,00

7.1.19;MULTA POR EXCESSO DE PESO;;;D;0,00

7.1.20;RASTREADOR/ MONITORAMENTO;;;D;0,00

7.1.21;LOCAÇÃO DE VEÍCULOS;;;D;0,00

7.1.22;COMBUSTÍVEL - DIESEL (INTERNO);;;D;0,00

7.1.23;COMBUSTÍVEL - DIESEL (ESTOQUE);;;D;0,00

7.2;COMERCIAL;;;D;0,00

7.2.2;COMISSÃO;;;D;0,00

7.2.3;PRÊMIOS;;;D;0,00

7.2.4;BRINDES;;;D;0,00

7.2.5;PUBLICIDADE E PROPAGANDA;;;D;0,00

7.2.6;EVENTOS ENDOMARKETING;;;D;0,00

7.2.7;PATROCINIOS;;;D;0,00

7.3;PESSOAL;;;D;0,00

7.3.1;SALÁRIOS;;;D;0,00

7.3.2;FGTS;;;D;0,00

7.3.3;INSS;;;D;0,00

7.3.4;EXAMES MÉDICOS;;;D;0,00

7.3.5;ALIMENTAÇÃO DO TRABALHADOR;;;D;0,00

7.3.6;PLANO DE SAÚDE;;;D;0,00

7.3.7;ALUGUEL DE FUNCIONÁRIO;;;D;0,00

7.3.8;CESTA BÁSICA;;;D;0,00

7.3.9;SEGURANÇA DO TRABALHO;;;D;0,00

7.3.10;TRANSPORTE DE COLABORADORES;;;D;0,00

7.3.11;UNIFORMES;;;D;0,00

7.3.12;PRO LABORE;;;D;0,00

7.3.13;SINDICATOS;;;D;0,00

7.3.14;TREINAMENTOS E DESENVOLVIMENTO;;;D;0,00

7.3.15;SEGURO DE VIDA;;;D;0,00

7.3.16;EMPRESTIMO CONSIGNADO;;;D;0,00

7.3.17;CONVENIOS;;;D;0,00

;;;;;;;

www.sygecom.com.br - relatorios\sagi_listacdc7.fr3;;;Página: 3 / 6;;;;
7.3.18;CUSTA PROCESSUAL E TRABALHISTA;;;D;0,00

7.3.19;FERIAS;;;D;0,00

7.3.20;GRATIFICAÇÃO 13 SALARIO;;;D;0,00

7.3.21;RESCISÕES;;;D;0,00

7.3.22;BOLSA ESTAGIO;;;D;0,00

7.3.23;HONORÁRIOS PJ;;;D;0,00

7.3.24;FOLHA - REMESSA;;;D;0,00

7.3.25;BENEFÍCIOS DIVERSOS;;;D;0,00

7.3.26;PROVISAO 13 E FERIAS;;;D;0,00

7.3.27;PROVISAO DE ENCARGOS;;;D;0,00

7.4;TRIBUTÁRIA;;;D;0,00

7.4.1;PIS;;;D;0,00

7.4.2;COFINS;;;D;0,00

7.4.3;IRPJ;;;D;0,00

7.4.4;CSLL;;;D;0,00

7.4.5;ISS;;;D;0,00

7.4.6;IRRF;;;D;0,00

7.4.7;CSRF;;;D;0,00

7.4.8;IOF;;;D;0,00

7.4.9;DIFAL;;;D;0,00

7.4.10;ITCMD;;;D;0,00

7.4.11;IRPF;;;D;0,00

7.4.12;ICMS;;;D;0,00

7.4.13;DASN;;;D;0,00

7.5;ADMINISTRATIVA;;;D;0,00

7.5.1;ÁGUA E ESGOTO;;;D;0,00

7.5.2;ENERGIA ELÉTRICA;;;D;0,00

7.5.3;TELECOMUNICAÇÕES;;;D;0,00

7.5.4;MATERIAL DE LIMPEZA E HIGIENE;;;D;0,00

7.5.5;MATERIAL DE ESCRITÓRIO;;;D;0,00

7.5.6;MANUTENÇÕES E REPAROS - ESTRUTURAADMINISTRATIVA;;;D;0,00

7.5.7;HONORÁRIOS CONTÁBEIS;;;D;0,00

7.5.8;HONORÁRIOS ADVOCATÍCIOS;;;D;0,00

7.5.9;CONSULTORIA;;;D;0,00

7.5.10;SEGURANÇA E VIGILÂNCIA;;;D;0,00

7.5.11;CORREIOS;;;D;0,00

7.5.13;SEGUROS;;;D;0,00

7.5.15;RAÇÃO;;;D;0,00

7.5.16;ALARME E MONITORAMENTO;;;D;0,00

7.5.17;TAXAS;;;D;0,00

7.5.18;SISTEMAS;;;D;0,00

7.5.19;ENTIDADES E ASSOCIAÇÕES;;;D;0,00

7.5.20;INTERNET;;;D;0,00

7.5.21;MATERIAL DE INFORMÁTICA;;;D;0,00

;;;;;;;

www.sygecom.com.br - relatorios\sagi_listacdc7.fr3;;;Página: 4 / 6;;;;
7.5.22;DESPESAS BANCARIAS;;;D;0,00

7.5.23;JUROS E MULTAS;;;D;0,00

7.5.24;DESCONTOS CONCEDIDOS;;;D;0,00

7.5.25;DESPESA DE CARTÓRIO;;;D;0,00

7.5.26;DESPESAS SOCIAIS E DOAÇÕES;;;D;0,00

7.5.27;MATERIAL DE COPA/COZINHA;;;D;0,00

7.5.28;SERVIÇO DE LIMPEZA DO ESCRITÓRIO;;;D;0,00

7.5.29;LANCHES;;;D;0,00

7.5.30;HOMOLOGAÇÃO PGTOS ELETRONICOS;;;D;0,00

7.5.31;ALUGUEL ADMINISTRATIVO;;;D;0,00

7.5.32;TAXAS E LICENÇAS;;;D;0,00

